oppId,updateId,findingBlock,pathId,amountIn,predictedNetProfit,predictedGrossProfit,predictedGas,txHash,internalError,executionTime
1080668I01206,1080668P6378ba053f3a6ed2903b72380949d5a3,1080668,I01206,1392323026675953127,-79693601681870080,8506398318129920,392000,,Tx submission timeout reached,
1080719I03626,1080719Pba4f4b2001c2c716ecd87de083d80d25,1080719,I03626,196020270352119716064,7793078747553292356,7881278747553292356,392000,,VM Exception while processing transaction: revert Not profitable,
1080720I03626,1080720Pba4f4b2001c2c716ecd87de083d80d25,1080720,I03626,116884696043000907139,2642266873927746466,2730466873927746466,392000,0x6166fb9c50b428e2f1adf5a815d3273a3880f452915b4a94729d8c7e6cb98a35,,3503
1080725I03631,1080725Pa02afb84b6b4c1801fbfe5b8407cbf99,1080725,I03631,76588592317615575062,1284911187934744808,1373111187934744808,392000,,VM Exception while processing transaction: revert Not profitable,
1080832I03731,1080832P47f1f7f6232906996cfd34445972afd0,1080832,I03731,82612533274266626906,2165437911601621717,2253637911601621717,392000,,VM Exception while processing transaction: revert Not profitable,
1080832I03731,1080832P47f1f7f6232906996cfd34445972afd0,1080832,I03731,82612533274266626906,2165437911601621717,2253637911601621717,392000,0x033a708a3dfabd7a9e0b9a7ac4b20f8b15e2cf6113024d880867b08570634c29,,3133
1081304I03536,1081304P3ee5f657e78aaeab550281c6d5f6c04d,1081304,I03536,26947906862611761795,1898727593432471731,1986927593432471731,392000,,VM Exception while processing transaction: revert Not profitable,
1081304I03536,1081304P3ee5f657e78aaeab550281c6d5f6c04d,1081304,I03536,26947906862611761795,1898727593432471731,1986927593432471731,392000,0x4c3a99be871a7c987b3ebcb87026ae04e73c3ad36b19f5e13851c36d3e8dc936,,2741
1081312I03485,1081312P3ee5f657e78aaeab550281c6d5f6c04d,1081312,I03485,5252133916345758844,65709310939727202,153909310939727202,392000,,VM Exception while processing transaction: revert Not profitable,
1081314I03485,1081314P7427fe8b2ace7c8b23f044deb3ac75ea,1081314,I03485,5224830876304734415,64065634322608555,152265634322608555,392000,,Tx submission timeout reached,
1081432I02174,1081432P6378ba053f3a6ed2903b72380949d5a3,1081432,I02174,74843176760486014168,353802570933621033,442002570933621033,392000,,VM Exception while processing transaction: revert Not profitable,
1081432I02174,1081432P6378ba053f3a6ed2903b72380949d5a3,1081432,I02174,74843176760486014168,353802570933621033,442002570933621033,392000,0xd5ce131551586b4d5c2d780f570a04b1fb366bbee6f38858e5b174f2c959e532,,3032
1081468I04490,1081468P99609322fc9b60657b002a730d4d7d0d,1081468,I04490,19898492765861097224,69988589860036035,158188589860036035,392000,,VM Exception while processing transaction: revert Not profitable,
1081468I02174,1081468P6378ba053f3a6ed2903b72380949d5a3,1081468,I02174,84914673785299093903,477546584133255485,565746584133255485,392000,,VM Exception while processing transaction: revert Not profitable,
1081468I04490,1081468P99609322fc9b60657b002a730d4d7d0d,1081468,I04490,19898492765861097224,69988589860036035,158188589860036035,392000,0x5c45a77d3ae74c683d196cb9f2a552ddb4c2b400ef052e6fcc2354195fcf0753,,7173
