updateId,blockNumber,traderAddress,nodeIp,startTimestamp,processingTime,updatedPools,searchedPaths
1079198P26dccf436baa282c25c8e0e5e73ffb1c,1079198,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342864870,153,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079199P26dccf436baa282c25c8e0e5e73ffb1c,1079199,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342880306,160,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079199P26dccf436baa282c25c8e0e5e73ffb1c,1079199,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342880305,161,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079204P47f1f7f6232906996cfd34445972afd0,1079204,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342930122,158,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079204P5fc9d2808330416f48196e6b19aae22d,1079204,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342930281,148,0x79C1B4Ee613F29a8c0aae563Ef445317D99a6906,3422
1079204P47f1f7f6232906996cfd34445972afd0,1079204,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342930122,164,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079204P5fc9d2808330416f48196e6b19aae22d,1079204,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342930287,150,0x79C1B4Ee613F29a8c0aae563Ef445317D99a6906,3422
1079210Pd9e840c8b8b7c5a90db83cb1c5490a1e,1079210,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342999774,156,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,3422
1079210Pd9e840c8b8b7c5a90db83cb1c5490a1e,1079210,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618342999774,160,0x17a2E8275792b4616bEFb02EB9AE699aa0DCb94b,3422
1079215P00fdf52582ebc20e564c6606e7c69d93,1079215,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343092973,157,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,3422
1079215P00fdf52582ebc20e564c6606e7c69d93,1079215,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343092973,165,0xd7538cABBf8605BdE1f4901B47B8D42c61DE0367,3422
1079217P26dccf436baa282c25c8e0e5e73ffb1c,1079217,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343101878,154,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079217P26dccf436baa282c25c8e0e5e73ffb1c,1079217,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343101878,158,0x9EE0a4E21bd333a6bb2ab298194320b8DaA26516,3422
1079218P47f1f7f6232906996cfd34445972afd0,1079218,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343116426,171,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079218P5fc9d2808330416f48196e6b19aae22d,1079218,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343116597,148,0x79C1B4Ee613F29a8c0aae563Ef445317D99a6906,3422
1079218P47f1f7f6232906996cfd34445972afd0,1079218,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343116429,162,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079218P5fc9d2808330416f48196e6b19aae22d,1079218,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343116592,154,0x79C1B4Ee613F29a8c0aae563Ef445317D99a6906,3422
1079220Pbd029547708f7a4a5fd7af005970cde8,1079220,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343135998,166,0x76FbCE48D9dCE3d04bfAc318d1fDeb3a78e903A9,3422
1079220Pbd029547708f7a4a5fd7af005970cde8,1079220,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343135998,165,0x76FbCE48D9dCE3d04bfAc318d1fDeb3a78e903A9,3422
1079220P47f1f7f6232906996cfd34445972afd0,1079220,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343136164,148,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079220P47f1f7f6232906996cfd34445972afd0,1079220,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343136164,149,0x57cc32Cd7F5a531953E9af25e1C9394093428082,3422
1079222P4b1721d09c3b27e2c828f05265b7d548,1079222,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343156829,173,0xF54a719215622f602FCA5BF5a6509734C3574a4c,3422
1079222P4b1721d09c3b27e2c828f05265b7d548,1079222,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343156829,175,0xF54a719215622f602FCA5BF5a6509734C3574a4c,3422
1079224P758c48aee2cec12b2fe55def24df733c,1079224,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343174588,160,0x1aCf1583bEBdCA21C8025E172D8E8f2817343d65,3422
1079224P758c48aee2cec12b2fe55def24df733c,1079224,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343174587,161,0x1aCf1583bEBdCA21C8025E172D8E8f2817343d65,3422
1079227P758c48aee2cec12b2fe55def24df733c,1079227,0x8A877D7f4D7DBDebFf196C93Cc34BABF6A90f9ab,54.184.27.142,1618343216560,157,0x1aCf1583bEBdCA21C8025E172D8E8f2817343d65,3422
